Lab,Latitude,Longitude
"Audio, Speech and Language Processing Group (ASLP@NPU)School of Computer Science, Northwestern Polytechnical University, Xi’an, China",34.2658138,108.9540936
"Audio, Speech and Language Processing Group, School of Computer Science, Northwestern Polytechnical University, Xi’an, China ",34.2658138,108.9540936
"Audio, Speech and Language Processing Group, School of Computer Science,Northwestern Polytechnical University, Xi’an, China",34.2658138,108.9540936
"Augnito India Private Limited, India",12.9713854,77.61299260000001
"Automatic Control, Department of Electrical Engineering, Linköping University",58.41080700000001,15.6213727
"Avignon Université, LIA, CNRS, France",43.9486986,4.8059401
"Barcelona Supercomputing Center, Spain",41.3899442,2.1153769
"Beckman Institute for Advanced Science and Technology, USA",40.1157786,-88.22745139999999
"Beckman Institute for Advanced Science and Technology, University of Illinois",40.1157786,-88.22745139999999
"Behavioral Signal Technologies Inc., Los Angeles, CA, USA",34.246466,-118.605558
"Beijing Bombax XiaoIce Technology Co., Ltd, China",39.904211,116.407395
"Beijing Key Laboratory of Big Data Management and Analysis Methods, Beijing",39.904211,116.407395
"Beijing Language and Culture University, China",39.99377399999999,116.345897
"Beijing National Research Center for Information Science and TechnologyDepartment of Electronic Engineering, Tsinghua University, Beijing , China",39.90934499999999,116.316358
"Beijing Xiaoju Technology Co., Ltd., Beijing, China",39.904211,116.407395
"Berlin University of the Arts / Einstein Center Digital Future, Germany",52.5184164,13.3805807
"Bern University Hospital (Inselspital), University of Bern, Switzerland",46.9503715,7.438186399999999
"Beth Israel Medical Center, USA",40.7331881,-73.9820909
"Biogen Switzerland AG, Baar, Switzerland",47.1886703,8.5125058
"Biomedical Knowledge Engineering Laboratory, Seoul National University, Seoul, South Korea",37.4648267,126.9571988
"Bobidi, South Korea",35.907757,127.766922
"Bocconi University, Milan, Italy",45.4485736,9.189945
Bosch Center for Artificial Intelligence-USA,38.7945952,-106.5348379
"Boston University, Boston, MA, USA",42.3504997,-71.1053991
"Brno University of Technology, Faculty of Information Technology, Speech@FIT, Czechia",49.2015407,16.603619
"Brno University of Technology, Speech@FIT, Czech Republic",49.2015407,16.603619
"Brooklyn College, Brooklyn, NY, USA",40.6308935,-73.951458
"Brown University, Providence, RI",41.8267718,-71.4025482
"Brunel University London, UK",51.5321389,-0.4727493
"Budapest University of Technology and Economics, Department of Telecommunication andMedia Informatics; Hungarian Research Centre for Linguistics",47.511441,19.0758335
"ByteDance Inc, San Jose, CA, US",37.3547373,-121.9308227
"ByteDance Research, P.R. China",35.86166,104.195397
"ByteDance Research, Singapore",1.352083,103.819836
ByteFuse,-33.9653627,18.8359551
"Bytedance, Singapore",1.352083,103.819836
"CCA Lab, College of Intelligence and Computing, Tianjin University, Tianjin, China",39.108067,117.176196
"CIMA, IIFA, Department of Mathematics, ECT, University of Évora, Portugal",38.572984,-7.905253999999999
"CIS Department, CCSIT, Imam Abdulrahman Bin Faisal University, Dammam, SA",26.3948879,50.1957014
"CLLE CNRS , Bordeaux, France",44.8435617,-0.5766017999999999
"CLSP and HLT-COE, Johns Hopkins University, USA",39.3299013,-76.6205177
"CMI Lab, University of Wolverhampton, Wolverhampton",52.5868159,-2.1256587
"CMKL university, Thailand",13.7275905,100.7783353
"CNAI, Korea",35.907757,127.766922
"CNRS, Université Paris Cité, France;",48.8575475,2.3513765
"CRISCO/, Université de Caen Normandie,  Caen, France",49.192806,-0.363926
"CT Lab, University of Macau",22.198745,113.543873
"CUNY Graduate Center, New York, NY, USA",40.7486484,-73.98400699999999
"Cambridge Hearing Group, MRC Cognition and Brain Sciences Unit, University of Cambridge, UK",52.1926423,0.1192645
"Cambridge Research Laboratory, Toshiba Europe Ltd., Cambridge, UK",52.2343102,0.1447457
"Campus Biotech, Switzerland",46.2220851,6.148266599999999
"Campus Fryslˆan, University of Groningen, the Netherlands",53.2193266,6.562830099999999
"Canary Speech, USA",40.2102007,-111.6558373
"Capgemini, France",48.87486879999999,2.3465708
"Carnegie Mellon University, PA, USA",40.4432027,-79.9428499
"Carnegie Mellon University, Pittsburgh PA, USA",40.4432027,-79.9428499
"Carnegie Mellon University, U.S.A.",40.4432027,-79.9428499
"Carnegie Mellon University, United States of America",40.4432027,-79.9428499
"Celtic and Scottish StudiesUniversity of Edinburgh, United Kingdom",55.953252,-3.188267
"Center for Artiﬁcial Intelligence in Society, University of Southern California, USA",34.0223519,-118.285117
"Center for Cognitive and Brain Sciences, The Ohio State University, USA",39.9993865,-83.0227103
"Center for Data Science, New York University, New York City, USA",40.735016,-73.99480199999999
"Center for Free-Electron Laser Science, DESY, Hamburg, Germany",53.5791976,9.8848141
"Center for Information and Language Processing, LMU Munich, Germany",48.15038819999999,11.5946973
"Center for Language Studies/CLST, Radboud University Nijmegen",51.8448837,5.842828099999999
"Center for Language and Speech Processing, Johns Hopkins University, USA",39.3272831,-76.6195475
"Center for Robotics, University of Electronic Science and Technology of China",30.6624863,104.1021662
"Center for Robust Speech Systems (CRSS), University of Texas at Dallas, Richardson, TX, USA",32.9856977,-96.7502473
"Center for Robust Speech Systems (CRSS), University of Texas at Dallas, TX, USA",32.9856293,-96.7542805
"Center for Robust Speech Systems (CRSS), University of Texas at Dallas, USA",32.9856977,-96.7502473
"Center for Speech and Language Technologies, BNRist, Tsinghua University, China",35.86166,104.195397
"Center for Speech and Language Technologies, Tsinghua University, China",35.86166,104.195397
"Center of Robust Speech Systems,The University of Texas at Dallas, US",32.9856977,-96.7502473
"CentraleSupélec, IETR (UMR C), France",46.227638,2.213749
"Centre for Audio, Acoustics and Vibration, University of Technology Sydney, Australia",-33.8836537,151.2006119
"Centre for Digital Music, Queen Mary University of London, UK",51.52339449999999,-0.0413266
"Centre for Interdisciplinary Health Research, University of Augsburg, Germany",48.33479759999999,10.8932404
"Centre for Language Sciences, Department of Linguistics, Macquarie University, Australia",-33.7738192,151.1100749
"Centre for Language Studies (CLS), Radboud University, The Netherlands",52.132633,5.291265999999999
"Centre for Language Studies, Radboud University, the Netherlands",52.132633,5.291265999999999
"Centre for Language and Speech Technology (CLST), Radboud University, The Netherlands",51.8220189,5.863818699999999
"Centre for Language and Speech Technology, Radboud University Nijmegen, Netherlands",51.8220189,5.863818699999999
"Centre for Language and Speech Technology, Radboud University, the Netherlands",51.8220189,5.863818699999999
"Centre for Languages and Literature, Lund University, Sweden",55.7092386,13.1996124
"Centre for Mathematical Sciences, Lund University",55.7107478,13.206711
"Centre for Perceptual and Interactive Intelligence, Hong Kong SAR, China",22.3193039,114.1693611
"Centre for Speech Technology Research, University of Edinburgh, Scotland",55.9445158,-3.1892413
"Centre for Speech Technology Research, University of Edinburgh, United Kingdom",55.9445158,-3.1892413
"Centre for Vision, Speech and Signal Processing (CVSSP), University of Surrey, UK",51.2431429,-0.5894664
"CerCo UMR 5549, CNRS, Université de Toulouse, France",43.6048462,1.442848
"Chair EIHW, University of Augsburg, Germany",48.3705449,10.89779
"Chair of Embedded Intelligence for Health Care and Wellbeing, University of Augsburg, Germany",48.33479759999999,10.8932404
"Changhong AI Lab (CHAIR), Sichuan Changhong Electronics Holding Group Co., Ltd.",30.6508899,104.07572
"Channel Corporation, Republic of Korea",35.907757,127.766922
"Charles University, Czechia",50.0871106,14.4234889
"Chiba Institute of Technology, Japan",35.6887564,140.0209939
"Children’s Hospital of Philadelphia, Philadelphia, PA",39.9487346,-75.193924
"China Mobile Online Services Company Limited, China",35.86166,104.195397
"China Mobile Research Institute, Beijing, China",39.904211,116.407395
"China Unicom (Guangdong) Industrial Internet Co., Ltd.",23.1317099,113.26627
"Chinese Institute for Brain Research (CIBR), Beijing, China",39.904211,116.407395
"Chongqing University of Posts and Telecommunications, China",29.535171,106.605308
"Chulalongkorn University, Bangkok, Thailand",13.7388624,100.5284077
"Clinic for Phoniatrics, Pedaudiology and Communication Disorders,University Hospital and Medical Faculty of RWTH Aachen University, Aachen, Germany",50.7775413,6.077485299999999
"Clinical Hospital, University of Chile",-35.675147,-71.542969
"Codemill AB, Ume˚a, Sweden",63.8233418,20.2732724
"Cognitive Machine Learning Team, INRIA, France",48.8370198,2.1031187
"Cognitive Machine Learning Team, INRIA, Paris, France",48.8414569,2.3846697
"Cognitive Machine Learning, ENS–CNRS–EHESS–INRIA–PSL Research University, France",46.227638,2.213749
"Cognitive Systems Lab (CSL), University of Bremen, Germany",53.1059115,8.8550647
"Cognitive Systems Lab, University of Bremen, Bremen, Germany",53.1059115,8.8550647
"College of Computer Science and Electronic Engineering, Hunan University, China",28.178915,112.94395
"College of Computer Science and Technology, Jilin University, Changchun, China",43.82572,125.2850161
"College of Computer Science, Inner Mongolia University, National & Local Joint EngineeringResearch Center of Intelligent Information Processing Technology for Mongolian, Inner MongoliaKey Laboratory of Mongolian Information Processing Technology, Hohhot, China",40.81426099999999,111.689298
"College of Computer Science, Zhejiang University, China",30.30868439999999,120.0864995
"College of Computer Science,Inner Mongolia University,China",40.81426099999999,111.689298
"College of Computer and Information Engineering, Tianjin Normal University, Tianjin, China",39.0607286,117.1256421
"College of Engineering, Computing and Cybernetics, Australian National University, Australia",-35.2755454,149.1206935
"College of Information Science and Engineering, Ritsumeikan University, Japan",35.0331762,135.7242997
"College of Information Science and Engineering, Xinjiang University, Urumqi, China",43.7650239,87.6163306
"College of Intelligence and Computing, Tianjin University, China",39.108067,117.176196
"College of Psychology and Sociology, Shenzhen University, China",22.53306,113.932813
"Communication Sciences and Disorders, Montclair State University, New Jersey, USA",40.8259007,-74.2090053
"Communication Sciences and Disorders, Syracuse University, New York, USA",43.012592,-76.1154148
"Communications and Signal Processing Group, Imperial College London, UK",51.49882220000001,-0.1748735
"Communicative Sciences and Disorders, New York University, New York, USA",40.727334,-73.9954156
"Computer College, Qinghai Nationalities University, China",36.5981032,101.8222356
"Computer Science Department, University of California, Los Angeles",34.0699182,-118.4438495
Convin.AI,12.8926416,77.64173130000002
"Cooperative Medianet Innovation Center, Shanghai Jiao Tong University",31.0252201,121.4337784
"Coqui, Germany;",51.165691,10.451526
"Cornell University, Ithaca, NY, USA",42.4534492,-76.4735027
"Courant Institute of Mathematical Sciences, New York University, NY, USA",40.7286908,-73.99565969999999
"Czech Technical University in Prague, Czech Republic",50.1031749,14.3947511
"DSO National Laboratories, Singapore",1.2894496,103.7869469
"Darmstadt University of Applied Sciences, Germany;",49.86729529999999,8.6381904
"Data Science Chair, Julius-Maximilians University of Würzburg, Germany",49.7881814,9.93526
"Data Science Research Center, Duke Kunshan University, Kunshan, China",31.415978,120.9014167
"Data Science and AI Lab, ECE, Seoul National University, Seoul , Korea",37.4648267,126.9571988
"Davis Institute for AI, Colby College, USA",38.7945952,-106.5348379
"Department Electrical Engineering-ESAT-PSI, KULeuven, Belgium",50.87809710000001,4.699705300000001
"Department for Nordic Studies and Linguistics, University of Copenhagen, Denmark",55.6802303,12.5724096
"Department of AI, Kyungpook National University",35.888836,128.6102997
"Department of Applied Mathematics and Statistics, Stony Brook University, Stony Brook, NY, USA",40.9157231,-73.1263227
"Department of Artificial Intelligence, Korea University, Republic of Korea",35.907757,127.766922
"Department of Artificial Intelligence, Korea University, Seoul, Korea",37.59040299999999,127.035926
"Department of Artificial Intelligence, Sogang University, Republic of Korea",37.5509442,126.9410023
"Department of Automation, Tsinghua University, China",39.9996674,116.3264439
"Department of Biomedical Engineering, Ben-Gurion University of the Negev, Israel",31.261426,34.7995546
"Department of Biostatistics, Harvard T.H. Chan School of Public Health, Harvard University",42.3353373,-71.1028261
"Department of Brain and Cognitive Engineering, Korea University, Republic of Korea",35.907757,127.766922
"Department of Chinese and Bilingual Studies, The Hong Kong Polytechnic University",22.3045633,114.1795767
"Department of Circuit Theory, Czech Technical University in Prague, Prague, Czech Republic",50.1031749,14.3947511
"Department of Cognitive Science, UC San Diego, La Jolla, California, USA",32.881168,-117.2343605
"Department of Communication Disorders, Brigham Young University, Provo, Utah, USA",40.2469498,-111.6518949
"Department of Communication Sciences and Disorders, MGH Institute of Health Professions,Boston, MA",42.351568,-71.064426
"Department of Communications and Computer Engineering, Waseda University, Tokyo, Japan",35.7087334,139.7196485
"Department of Computational Science and Engineering, McMaster University, Canada",43.2593657,-79.9054281
"Department of Computer Engineering Chulalongkorn University, Thailand",15.870032,100.992541
"Department of Computer Engineering, Chulalongkorn University, Thailand",15.870032,100.992541
"Department of Computer Engineering, Kasetsart University, Thailand",13.8479786,100.5722762
"Department of Computer Science and Engineering, POSTECH, Republic of Korea",36.0138857,129.3231836
"Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China",31.0252201,121.4337784
"Department of Computer Science and Engineering, Texas A&M University, United States",31.9685988,-99.9018131
"Department of Computer Science and Engineering, The Ohio State University, USA",40.0060889,-83.0282624
"Department of Computer Science and Engineering,The Hong Kong University of Science and Technology, Hong Kong",22.3374847,114.2633989
"Department of Computer Science and Information Engineering, National Taiwan Normal University",25.0260878,121.5275484
"Department of Computer Science and Information EngineeringNational Cheng Kung University, Taiwan",22.9972491,120.2206029
"Department of Computer Science and Technology, Tsinghua University, Beijing, China",40.001369,116.333823
"Department of Computer Science, IIT Bombay, India",19.1303305,72.9158112
"Department of Computer Science, Indian Institute of Technology Bombay",19.1330605,72.9151061
"Department of Computer Science, Princeton University, Princeton, NJ, USA",40.350211,-74.65220699999999
"Department of Computer Science, The University of Texas at Austin, USA",30.2850284,-97.7335226
"Department of Computer Science, University of Oregon, OR, USA",44.0448302,-123.0726055
"Department of Computer Science, University of Sheffield,  Portobello, Sheffield S",53.3813502,-1.4884229
"Department of Computer Science, University of Sheffield, Sheffield S1 4DP, UK",53.3813502,-1.4884229
"Department of Computer Science, University of Southern California, USA",34.0223519,-118.285117
"Department of Computer Science, Wayne State University, Detroit, USA",42.3575176,-83.0651999
"Department of Computing Science, Ume˚a University, Sweden",63.8204575,20.3074306
"Department of Cybernetics, University of West Bohemia Pilsen, Czech Republic",49.7236724,13.3516023
"Department of Cybernetics, University of West Bohemia, Pilsen, Czech Republic",49.7236724,13.3516023
"Department of Diagnostic and Interventional Radiology, University Hospital RWTH Aachen, Germany",50.7775413,6.077485299999999
"Department of ECE and INMC, Seoul National University, Seoul, Republic of Korea",37.4648267,126.9571988
"Department of ECE, University of Texas at Dallas, Richardson",32.9483335,-96.7298519
"Department of Educational Psychology and Counseling, National Taiwan Normal University",25.0260878,121.5275484
Department of Educational PsychologyThe Chinese University of Hong Kong,22.419625,114.2067606
"Department of Electrical Engineering and Computer Science, Northwestern University, USA",42.0564594,-87.67526699999999
"Department of Electrical Engineering, Columbia University, USA",40.8094117,-73.9600884
"Department of Electrical Engineering, Indian Institute of Technology (IIT) Dharwad, India",15.4589236,75.007808
"Department of Electrical Engineering, Indian Institute of Technology Patna, Bihar-, India",25.5940947,85.1375645
"Department of Electrical Engineering, National Tsing Hua University, Taiwan",24.7961217,120.9966699
"Department of Electrical Engineering, Tsinghua University, Beijing, 100084, P. R. China",40.001516,116.331498
"Department of Electrical Engineering, Tsinghua University, Beijing, China",40.001516,116.331498
"Department of Electrical EngineeringIndian Institute of Technology Kanpur, India",26.449923,80.3318736
"Department of Electrical and Computer Engineering, Carnegie Mellon University",40.4432027,-79.9428499
"Department of Electrical and Computer Engineering, John Hopkins University, USA",39.3299013,-76.6205177
"Department of Electrical and Computer Engineering, National University of Singapore, Singapore",1.2966426,103.7763939
"Department of Electrical and Computer Engineering, Stony Brook University, USA",40.90413849999999,-73.1237618
"Department of Electrical and Computer Engineering, The Johns Hopkins University, Baltimore, MD,USA",39.3271315,-76.62071390000001
"Department of Electrical and Computer Engineering, University of California, Los Angeles, USA",34.0699182,-118.4438495
"Department of Electrical and Computer Engineering, University of Illinois",40.1019523,-88.2271615
"Department of Electrical and Computer Engineering, University of Rochester, Rochester, NY, USA",43.1250396,-77.6297932
"Department of Electrical and Electronic Engineering, Yonsei University, Seoul, Korea",37.561944,126.9356224
"Department of Electrical and Electronic Engineering, Yonsei University, South Korea",37.5663937,126.9387066
"Department of Electronic Engineering Hanyang University, Seoul, Republic of Korea",37.5571759,127.0454092
"Department of Electronic Engineering, Hanyang University, Seoul, Republic of Korea",37.5571759,127.0454092
"Department of Electronic Engineering, Shanghai Jiao Tong University, Shanghai, China",31.0252201,121.4337784
"Department of Electronic Engineering, The Chinese University of Hong Kong, Hong Kong SAR",22.3361685,114.1735331
"Department of Electronic Engineering, Tsinghua University, Beijing, China",39.9996674,116.3264439
"Department of Electronic Engineering, Tsinghua University, China",39.9996674,116.3264439
"Department of Electronic Systems, NTNU, Norway",60.47202399999999,8.468945999999999
"Department of Electronics and Communication Engineering, KLE Technological University, India",15.3688332,75.1213796
"Department of Electronics and Communication, National Institute of Technology Karnataka,Surathkal, India",13.0107776,74.794309
"Department of Electronics, University Carlos III of Madrid (UC3M), Spain",40.46366700000001,-3.74922
"Department of Engineering, King’s College London, UK",51.5072178,-0.1275862
"Department of Engineering, University of Cambridge, Cambridge, UK",52.1982868,0.1202353
"Department of Engineering, University of Cambridge, Trumpington St., Cambridge, CB2 1PZ UK.",52.1982868,0.1202353
"Department of Engineering, University of Cambridge, UK",52.1982868,0.1202353
"Department of English Language and Literature, Hong Kong Baptist University",22.3408088,114.1798757
"Department of French Language Education, Seoul National University, Republic of Korea",37.550263,126.9970831
"Department of General Psychology and Cognitive Neuroscience, Friedrich Schiller UniversityJena, Germany",50.92943289999999,11.5896642
"Department of Human Development and Family Studies, University of Illinois",40.1047734,-88.224702
"Department of Humanities, Università degli studi di Torino, Italy",45.0696528,7.689051699999998
"Department of Information Engineering and Computer Science, Feng-Chia University",43.72048729999999,10.3834371
"Department of Information Sciences, Tokyo University of Science, Tokyo, Japan",35.699827,139.7414458
"Department of Information and Communications Engineering, Aalto University, Finland.",60.185145,24.8322977
"Department of Information and Computing Sciences, Utrecht University, The Netherlands",52.0859667,5.1715372
"Department of Intelligence and Information, Seoul National University",37.4648267,126.9571988
"Department of Intelligent Science School of Advanced Engineering,Xi’an Jiaotong-Liverpool University, Suzhou, China",31.274822,120.738094
"Department of Language Science and Technology, Saarland University, Germany",49.255122,7.040951400000001
"Department of Language and Linguistic Science, University of York, UK",53.947788,-1.0530235
"Department of Linguistics and Cognitive Science, Pomona College, USA",38.7945952,-106.5348379
"Department of Linguistics and English Language, Lancaster University, Lancaster, UK",54.0103942,-2.7877294
"Department of Linguistics, Macquarie University, Sydney, Australia",-33.7738192,151.1100749
"Department of Linguistics, Seoul National University, Republic of Korea",37.4648267,126.9571988
"Department of Linguistics, University of Illinois Urbana-Champaign, USA",40.1062946,-88.22580289999999
"Department of Linguistics, University of Maryland, USA",38.9869183,-76.9425543
"Department of Mathematics and Mechanics, Moscow State University, Russia",55.70393490000001,37.5286695
"Department of Mathematics, University of Kentucky, Lexington, USA",38.0387715,-84.504209
"Department of Measurement and Information Systems, BME, Budapest, Hungary",47.4813261,19.0554834
"Department of Microelectronics, Delft University of Technology, Netherlands",52.01157689999999,4.3570677
"Department of Neurological Diagnosis and Restoration, Osaka University Graduate School ofMedicine, Suita, Osaka, Japan",34.8188192,135.526373
"Department of Neurology ARTORG Center, Inselspital, Bern University Hospital, University ofBern, Switzerland",46.9503065,7.424686999999999
"Department of Neurology and Centre of Clinical Neuroscience, First Faculty of Medicine, CharlesUniversity and General University Hospital, Czechia",49.81749199999999,15.472962
"Department of Neurology and Centre of Clinical Neuroscience, First Faculty of Medicine, CharlesUniversity, Czechia",49.81749199999999,15.472962
"Department of Neurology, Inselspital, Bern University Hospital and University of Bern,Freiburgstrasse, Bern, Switzerland",46.9470786,7.424801700000001
"Department of Neurology, The Johns Hopkins University, Baltimore, MD, USA",39.2993138,-76.5907608
"Department of Neuroscience, City University of Hong Kong, Hong Kong SAR of China",22.3374868,114.1720025
"Department of Neurosurgery, Osaka University Graduate School of Medicine, Suita, Osaka, Japan",34.8188192,135.526373
"Department of Oral and Maxillofacial Surgery and Special Dental Care, University Medical CenterUtrecht, Utrecht University, The Netherlands",52.0858554,5.179579299999999
"Department of Otorhinolaryngology, Head and Neck Surgery. Ludwig-Maximilians University, Munich, Germany",48.1509185,11.5798609
"Department of Otorhinolaryngology, Head and Neck Surgery. Ludwig-Maximilians University,Munich, Germany",48.1509185,11.5798609
"Department of Phonetics, Trier University, Germany",49.7451094,6.6878053
"Department of Physical Medicine and Rehabilitation, Johns Hopkins University School of Medicine, USA",39.2992161,-76.5933799
"Department of Psychiatry and Psychotherapy, University Hospital, LMU Munich, Germany",48.1509185,11.5798609
"Department of Psychology, Carnegie Mellon University, USA",40.4414112,-79.94481139999999
"Department of Psychology, Colby College, USA",44.5638691,-69.6626362
"Department of Radiology Friedrich-Alexander-Universität Erlangen-Nürnberg, Germany",49.5979117,11.0045437
"Department of Romance Studies, Johannes Gutenberg University Mainz, Germany",49.9926403,8.241555199999999
"Department of Signal Theory and Communications, University Carlos III of Madrid (UC3M), Spain",40.46366700000001,-3.74922
"Department of Social, Environmental, and Economic Psychology, University of Kaiserslautern-Landau, Germany",49.4400657,7.7491265
"Department of Speech and Hearing Science, University of Illinois Urbana-Champaign, USA",40.1076473,-88.2307344
"Department of Speech, Hearing and Phonetic Sciences, University College London, UK",51.5072178,-0.1275862
"Department of Speech, Music and Hearing, KTH Royal Institute of Technology, Sweden",59.348301,18.0748591
"Department of Systems Engineering and Engineering Management,The Chinese University of Hong Kong, Hong Kong SAR, China",22.3366349,114.172793
"Department of Systems and Computing Engineering, Universidad de los Andes, Colombia",4.570868,-74.297333
"Department of Systems and Control Engineering, School of Engineering,Tokyo Institute of Technology, Tokyo, Japan",35.6764225,139.650027
"Department of Telecommunications and Media Informatics,Budapest University of Technology and Economics (BME), Budapest, Hungary",47.4813261,19.0554834
"Department of lnformation and Communications Engineering, Aalto University, Finland",60.185145,24.8322977
"Dept . of Electrical and Computer Engineering, University of California, Los Angeles, USA",34.0699182,-118.4438495
"Dept of Electronics and Electrical Communication Engineering, Indian Institute of TechnologyKharagpur, India",22.3210269,87.30996119999999
"Dept. Speech-Language Path., Temerty Faculty of Medicine, Univ. Toronto, Toronto, ON, Canada",43.66080050000001,-79.39350089999999
"Dept. of Applied Biology and Chemistry, Seoul National University, Seoul, Republic of Korea",37.4648267,126.9571988
"Dept. of Computer Science and Engineering, Seoul National University, Korea",37.4648267,126.9571988
"Dept. of Computer Science and Engineering, Sogang University, Korea",37.5509442,126.9410023
"Dept. of Computer Science, University of Oregon, USA",44.0448302,-123.0726055
"Dept. of EE and GSAI, POSTECH, Korea.",36.0138857,129.3231836
"Dept. of Electrical and Electronic Engineering, Yonsei University, South Korea",37.5663937,126.9387066
